IDArt;CodProveedor;Articulo;PrecioCosto;PorcIVA;IDProveedor;IDRubro;IDMoneda;MargenMin;MargenInt;MargenMay;UniBulto;PorcDto;PorcRec;PrecioFlete;PVMin;PVInt;PVMay;CodBarra;Nota
000001;000001;COCA COLA 1,25 LTS RET.;1500.0000;0.0;1;1;1;0.9;0.1;0.1;1;0.0;0.0;0.0000;2800.0000;1705.0000;2800.0000;7790895005374;Rubro: BEBIDAS
000002;000002;COCA COLA 2 LTS RET.;2500.0000;0.0;1;1;1;3.0;0.4;0.4;1;0.0;0.0;0.0000;10000.0000;3500.0000;10000.0000;12121212;Rubro: BEBIDAS
000003;000003;COCA COLA 2,5 LTS RET.;2800.0000;0.0;1;1;1;2.6;0.4;0.4;1;0.0;0.0;0.0000;10000.0000;3920.0000;10000.0000;;Rubro: BEBIDAS
000005;000005;PEPSI LATA 354ML;797.0000;0.0;3;1;1;0.9;0.2;0.2;1;0.0;0.0;0.0000;1500.0000;956.0000;1500.0000;7791813888376;Rubro: BEBIDAS
000006;000006;GALLETAS FAUNA MAURI 150G;500.0000;0.0;2;3;1;1.2;0.2;0.2;1;0.0;0.0;0.0000;1100.0000;600.0000;1100.0000;7790628102714;Rubro: ALMACEN
000007;000007;VAINILLA MAURI 80G;431.0000;0.0;2;5;1;0.9;0.2;0.2;1;0.0;0.0;0.0000;800.0000;517.0000;800.0000;7790628102684;Rubro: GOLOSINAS
000008;000008;JUGO ARCOR MANZANA 200ML;;0.0;2;1;1;0.2;0.2;0.2;1;0.0;0.0;0.0000;600.0000;0.0000;600.0000;7790580105419;Rubro: BEBIDAS
000009;000009;MINERVA LIMON 250ML;;0.0;2;3;1;0.2;0.2;0.2;1;0.0;0.0;0.0000;2100.0000;0.0000;2100.0000;7790070507372;Rubro: ALMACEN
000010;000010;ARROZ TIO CARLOS LARGO FINO 500G;600.0000;0.0;2;3;1;0.7;0.2;0.2;1;0.0;0.0;0.0000;1000.0000;720.0000;1000.0000;7792006000117;Rubro: ALMACEN
000011;000011;SPEED 269ML;1300.0000;0.0;4;1;1;0.7;0.2;0.2;1;0.0;0.0;0.0000;2200.0000;1560.0000;2200.0000;7798119220312;Rubro: BEBIDAS
000012;000012;SPAGHETTI TERRABUSI 500G;;0.0;5;3;1;0.2;0.2;0.2;1;0.0;0.0;0.0000;1100.0000;0.0000;1100.0000;7790070336460;Rubro: ALMACEN
000013;000013;TALLARIN TERRABUSI 500G;;0.0;5;3;1;0.2;0.2;0.2;1;0.0;0.0;0.0000;1100.0000;0.0000;1100.0000;7790070336477;Rubro: ALMACEN
000014;000014;CEPITA DURAZNO 300ML;1000.0000;0.0;1;1;1;0.6;0.2;0.2;1;0.0;0.0;0.0000;1600.0000;1200.0000;1600.0000;7790895641541;Rubro: BEBIDAS
000015;000015;CEPITA NARANJA 300ML;1000.0000;0.0;1;1;1;0.6;0.2;0.2;1;0.0;0.0;0.0000;1600.0000;1200.0000;1600.0000;7790895641794;Rubro: BEBIDAS
000016;000016;GATORADE NARANJA 500ML;1950.0000;0.0;3;1;1;0.4;0.2;0.2;1;0.0;0.0;0.0000;2800.0000;2340.0000;2800.0000;7792170042012;Rubro: BEBIDAS
000017;000017;MIRINDA LATA 354ML;797.0000;0.0;3;1;1;0.9;0.2;0.2;1;0.0;0.0;0.0000;1500.0000;956.0000;1500.0000;7791813333029;Rubro: BEBIDAS
000018;000018;SODA GRAZIANI 500CC;;0.0;6;1;1;0.2;0.2;0.2;1;0.0;0.0;0.0000;900.0000;0.0000;900.0000;7798399700047;Rubro: BEBIDAS
000019;000019;VIDA AGUA MINERAL;;0.0;7;1;1;0.2;0.2;0.2;1;0.0;0.0;0.0000;900.0000;0.0000;900.0000;7790036974538;Rubro: BEBIDAS
000020;000020;SPRITE LATA 354ML;700.0000;0.0;1;1;1;1.6;0.2;0.2;1;0.0;0.0;0.0000;1800.0000;840.0000;1800.0000;7790895000270;Rubro: BEBIDAS
000021;000021;FANTA LATA 354ML;700.0000;0.0;1;1;1;1.6;0.2;0.2;1;0.0;0.0;0.0000;1800.0000;840.0000;1800.0000;7790895000256;Rubro: BEBIDAS
000022;000022;COCA COLA ZERO 500ML;1000.0000;0.0;1;1;1;1.0;0.2;0.2;1;0.0;0.0;0.0000;2000.0000;1200.0000;2000.0000;7790895067532;Rubro: BEBIDAS
000023;000023;MOSTACHOL RAYADO MIX VEGETALES TERRABUSSI 500G;;0.0;5;3;1;0.2;0.2;0.2;1;0.0;0.0;0.0000;1300.0000;0.0000;1300.0000;7790070336538;Rubro: ALMACEN
000024;000024;TIRABUZON Nº28 LUCCHETTI 500G;868.0000;0.0;40;3;1;0.8;0.2;0.2;1;0.0;0.0;0.0000;1600.0000;1042.0000;1600.0000;7790070100627;Rubro: ALMACEN
000025;000025;MOSTACHOL TERRABUSI 500G;;0.0;5;3;1;0.2;0.2;0.2;1;0.0;0.0;0.0000;1300.0000;0.0000;1300.0000;7622300724269;Rubro: ALMACEN
000026;000026;COCA COLA RET 2L;1915.0000;0.0;1;1;1;0.7;0.2;0.2;1;0.0;0.0;0.0000;3300.0000;2298.0000;3300.0000;7790895000218;Rubro: BEBIDAS
000027;000027;COCA COLA RET 2.5L;2416.0000;0.0;1;1;1;0.7;0.2;0.2;1;0.0;0.0;0.0000;4200.0000;2899.0000;4200.0000;7790895068164;Rubro: BEBIDAS
