;Stock Valorizado;;;;;;;;;;11/7/2026
;Código;Descripción;;;;Marca;Costo;;Stock;St.Valorizado
;7790580141721; ALMENDRAS COFER 100 GS;;;;ARCOR;;4.500,00;97;;436.500,0
;7790070432292; ARROZ PREPARADO;;;;GALLO;;0,00;1;;0,000
;7790580120092; CHOCOLATE NEGRO 25 GS;;;;ARCOR;;860,00;10;;8.600,00
;7791600253547; DESODORANTE PLATINUM;;;;KEVIN;;2.700,00;1;;2.700,00
;7797470199367; FIDEOS SPAGHETTI;;;;MAROLIO;;600,00;9;;5.400,00
;7798314230147; FIDEOS TALLARIN;;;;VERIZZIA;;600,00;3;;1.800,00
;7790580140816; HELADO BON O BON CORAZON;;;;ARCOR;;2.500,00;6;;15.000,00
;7790580982508; HELADO CONO COFLER;;;;ARCOR;;2.900,00;9;;26.100,00
;170; JUGUITOS CONGELADOS;;;;;;100,00;114;;11.400,00
;020; PALITO BOMBON;;;;NAHUEL;;400,00;17;;6.800,00
;7791293051246; REPUESTO  GLYCOL;;;;SEDAL;;2.500,00;1;;2.500,00
;7791200200583; SKYY;;;;SKYY;;7.200,00;1;;7.200,00
;7791200200774; SKYY;;;;;;7.200,00;2;;14.400,00
;1987793670400562; YERBA MENTA Y GENGIBRE 500 GS;;;;VERDEFLOR;;1.411,00;10;;14.110,00
;7790740000431;,SHAMPOO CONTROL FRIZZ;;;;PLUSBELLE;;3.000,00;3;;9.000,00
;7790198000182;0,;;;;GALVANESCENCIAL;;426,00;10;;4.260,00
;7622201818739;6+666666666666;;;;;;4.150,00;2;;8.300,00
;7781226000328;ABRE LATAS MARIPOSA;;;;;;3.300,00;2;;6.600,00
;7790086419430;ACEITE DE GIRASOL;;;;GOURMET ;;2.300,00;12;;27.600,00
;7790272001029;ACEITE DE GIRASOL 1,5L;;;;NATURA;;4.000,00;2;;8.000,00
;7792180001641;ACEITE DE GIRASOL 900 ML ;;;;CAÑUELAS;;2.100,00;10;;21.000,00
;7797470005514;ACEITE DE GIRASOL 900ML;;;;MAROLIO;;2.500,00;5;;12.500,00
;7792180000569;ACEITE DE GIRASOL 900ML;;;;FLORENCIA;;2.200,00;10;;22.000,00
;7790086628376;ACEITE DE GIRASOL 900ML;;;;DOÑA NORITA;;2.300,00;11;;25.300,00
;7790086430718;ACEITE DEGIRASOL 900 CC ;;;;LA CAMPECHANA;;2.200,00;10;;22.000,00
;7798316700907;ACEITE GIRASOL 900 ML;;;;ALSAMAR;;1.500,00;7;;10.500,00
