TIPO,codigo_interno,descripcion_esquina,descripcion_full24,precio_esquina,precio_full24,diferencia_precio,barcode_esquina,barcode_full24,id_full24
PRECIO_DIFERENTE,001214,FERNET BRANCA 750ML,FERNET BRANCA 750ML,17000.0,14900.0,2100.0,7790290101602,7790290101602,22115
PRECIO_DIFERENTE,001618,MARLBORO CRAFTED BLUE 20,MARLBORO CRAFTED BLUE 20,2500.0,4000.0,-1500.0,77987310,77987310,22519
PRECIO_DIFERENTE,000471,HUEVOS CARTON X30U,HUEVOS CARTON X30U,8000.0,6900.0,1100.0,101,101,21371
PRECIO_DIFERENTE,000487,COCA COLA 500CC DESC,COCA COLA 500CC DESC,1500.0,2000.0,-500.0,,7790895000782,21387
PRECIO_DIFERENTE,001884,BAGGIO FRESH AGUA SAB. LIMON 1.5L,BAGGIO FRESH AGUA SAB. LIMON 1.5L,1600.0,1900.0,-300.0,,,22785
PRECIO_DIFERENTE,000324,SALSA TOMATE OLTA 1L,SALSA TOMATE OLTA 1L,2200.0,2400.0,-200.0,7791636000108,7791636000108,21224
BARCODE_DIFERENTE,000170,ENCENDEDOR BIC MINI,,,,,070330913431;70330913431,70330913431,21070
BARCODE_DIFERENTE,000197,GALLETAS DIVERSION SURTIDAS 400GR,,,,,(sin código),7790040143364,21097
BARCODE_DIFERENTE,000217,GALLETAS SALVADO BAGLEY X3 507G,,,,,(sin código),7790040136243,21117
BARCODE_DIFERENTE,000229,SONRISAS 108G,,,,,(sin código),7790040133488,21129
BARCODE_DIFERENTE,000235,GALLETAS MERENGADAS 88G,,,,,(sin código),7790040139657,21135
BARCODE_DIFERENTE,000367,ANDES ORIGEN RUBIA 473CC,,,,,7792798999866,7792798002245,21267
BARCODE_DIFERENTE,000534,OPERA 55G,,,,,(sin código),77903501,21434
BARCODE_DIFERENTE,000726,DURACELL PILAS AA X2 UNIDADES,,,,,041333014630;41333014630,41333014630,21626
BARCODE_DIFERENTE,000727,DURACELL PILAS AAA X2 UNIDADES,,,,,041333045412;41333045412,41333045412,21627
BARCODE_DIFERENTE,000799,ALFAJOR TOFI NEGRO 73G,,,,,7790040484801,7790040154919,21699
BARCODE_DIFERENTE,000809,GALLETAS TRAVIATA X3 324G,,,,,(sin código),7790040144088,21709
BARCODE_DIFERENTE,002047,ALFAJOR CELIENERGY ZAPALLO ALGARROBA 50G,,,,,076625228594;76625228594,76625228594,22948
BARCODE_DIFERENTE,002061,CARGADOR RAPIDO MICRO USB V8,,,,,000002122304;2122304,2122304,22962
BARCODE_DIFERENTE,002062,AURICULARES AIR PODS,,,,,000021223129;21223129,21223129,22963
BARCODE_DIFERENTE,002065,CABLE USB MICRO USB V8,,,,,0000021222310;21222310,21222310,22966
BARCODE_DIFERENTE,002066,CABLE USB TIPO C,,,,,000002122309;2122309,2122309,22967
BARCODE_DIFERENTE,002067,AURICULARES MANOS LIBRES,,,,,000002122334;2122334,2122334,22968
BARCODE_DIFERENTE,002068,"CABLE AUXILIAR 3,5MM",,,,,000002122302;2122302,2122302,22969
BARCODE_DIFERENTE,002069,CABLE USB TIPO C A TIPO C,,,,,000021223334;21223334,21223334,22970
BARCODE_DIFERENTE,002328,COCA COLA 237CC VIDRIO CHICA,,,,,(sin código),1354354,23229
BARCODE_DIFERENTE,002694,DURACELL AAAX2,,,,,041333431482;41333431482,41333431482,23595
BARCODE_DIFERENTE,002872,ADAPTAADOR RAPIDO TIPO C,,,,,000002122311;2122311,2122311,23773
BARCODE_DIFERENTE,002895,ALFAJOR CELIENERGY DE NUEZ 50G,,,,,076625228600;76625228600,76625228600,23796
BARCODE_DIFERENTE,002930,ENCENDEDOR BIC MAXI,,,,,070330909229;70330909229,70330909229,23831
BARCODE_DIFERENTE,002931,BIC COMFORT3,,,,,070330717534;70330717534,70330717534,23832
BARCODE_DIFERENTE,002970,ALFAJOR AGUILA MINIT DARK 69G,,,,,794921,7790040137578,23871
SOLO_EN_FULL24,7790070336149,,FIDEOS LUCCHETTI MOSTACHOL 500G,,2500.0,,,,26209
SOLO_EN_FULL24,7790070431493,,ARROZ LUCCHETTI 500G,,1100.0,,,,26210
SOLO_EN_FULL24,7790070433114,,ARROZ GALLO ORO 500G,,1600.0,,,,26211
SOLO_EN_FULL24,7790132098459,,LAVANDINA AYUDIN 1L,,2000.0,,,,26204
SOLO_EN_FULL24,7790895643903,,SCHWEPPES POMELO ZERO 310ML,,1700.0,,,,26213
SOLO_EN_FULL24,7790950131918,,DR LEMON VODKA + LIMON 1L,,4900.0,,,,26207
SOLO_EN_FULL24,7790990002162,,JABON ZORRO LIQ MATIC 800ML,,3200.0,,,,26201
SOLO_EN_FULL24,7790990003022,,MAGISTRAL DETERGENTE 300ML,,3200.0,,,,26202
SOLO_EN_FULL24,7791625000324,,ESPONJA ECOOO,,1200.0,,,,26203
SOLO_EN_FULL24,7792104000163,,DOÑA SAL FINA 500G,,1500.0,,,,26212
SOLO_EN_FULL24,7793253003579,,POETT SOLO PARA TI 900ML,,3000.0,,,,26205
SOLO_EN_FULL24,7794000006195,,HELLMANS KETCHUP 60G,,900.0,,,,26208
SOLO_EN_FULL24,7795293203209,,DON YEYO PAN DE PANCHO,,2700.0,,,,26200
SOLO_EN_FULL24,7798470250010,,AZUCAR LA PERLA 1KG,,2000.0,,,,26206
