Codigo,Producto,Precio,Costo,Categorias,Stock,StockMinimo,CodigoBarras,Unidad,CantidadEnvase,Ubicacion
000001,"COCA COLA 1,25 LTS RET.",2239.53,1500.0,BEBIDAS,20,0,7790895005374,Unidades,0,
000002,COCA COLA 2 LTS RET.,3500.0,2500.0,BEBIDAS,8,0,12121212,Unidades,0,
000003,"COCA COLA 2,5 LTS RET.",3920.0,2800.0,BEBIDAS,9,0,,Unidades,0,
000004,PANADERIA,1217.8,12122.0,PANADERIA,9,0,4,Unidades,0,
000005,PEPSI LATA 354ML,956.0,797.0,BEBIDAS,6,0,7791813888376,Unidades,0,
000006,GALLETAS FAUNA MAURI 150G,600.0,500.0,ALMACEN,9,0,7790628102714,Unidades,0,
000007,VAINILLA MAURI 80G,517.0,431.0,GOLOSINAS,3,0,7790628102684,Unidades,0,
000008,JUGO ARCOR MANZANA 200ML,,,BEBIDAS,9,0,7790580105419,Unidades,0,
000009,MINERVA LIMON 250ML,,,ALMACEN,9,0,7790070507372,Unidades,0,
000010,ARROZ TIO CARLOS LARGO FINO 500G,720.0,600.0,ALMACEN,6,0,7792006000117,Unidades,0,
000011,SPEED 269ML,1900.0,1300.0,BEBIDAS,24,0,7798119220312,Unidades,0,
000012,SPAGHETTI TERRABUSI 500G,,,ALMACEN,-5,0,7790070336460,Unidades,0,
000013,TALLARIN TERRABUSI 500G,,,ALMACEN,-4,0,7790070336477,Unidades,0,
000014,CEPITA DURAZNO 300ML,1200.0,1000.0,BEBIDAS,10,0,7790895641541,Unidades,0,
000015,CEPITA NARANJA 300ML,1200.0,1000.0,BEBIDAS,5,0,7790895641794,Unidades,0,
000016,GATORADE NARANJA 500ML,1600.0,1950.0,BEBIDAS,0,0,7792170042012,Unidades,0,
000017,MIRINDA LATA 354ML,956.0,797.0,BEBIDAS,14,0,7791813333029,Unidades,0,
000018,SODA GRAZIANI 500CC,,,BEBIDAS,4,0,7798399700047,Unidades,0,
000019,VIDA AGUA MINERAL,,,BEBIDAS,0,0,7790036974538,Unidades,0,
000020,SPRITE LATA 354ML,1200.0,700.0,BEBIDAS,-1,0,7790895000270,Unidades,0,
000021,FANTA LATA 354ML,1250.0,700.0,BEBIDAS,-4,0,7790895000256,Unidades,0,
000022,COCA COLA ZERO 500ML,1500.0,1000.0,BEBIDAS,12,0,7790895067532,Unidades,0,
000023,MOSTACHOL RAYADO MIX VEGETALES TERRABUSSI 500G,,,ALMACEN,0,0,7790070336538,Unidades,0,
000024,TIRABUZON Nº28 LUCCHETTI 500G,1600.0,868.0,ALMACEN,1,0,7790070100627,Unidades,0,
000025,MOSTACHOL TERRABUSI 500G,,,ALMACEN,-2,0,7622300724269,Unidades,0,
000026,COCA COLA RET 2L,2298.0,1915.0,BEBIDAS,-1,0,7790895000218,Unidades,0,
000027,COCA COLA RET 2.5L,3259.46,2416.0,BEBIDAS,1,0,7790895068164,Unidades,0,
000028,7 UP  1.5L,2471.0,2059.0,BEBIDAS,0,0,7791813444411,Unidades,0,
000029,COCA COLA ZERO 1.5L,3085.71,2166.0,BEBIDAS,4,0,7790895067556,Unidades,0,
000030,IMPERIAL IPA BOT 1L,,,BEBIDAS,-1,0,7793147570330,Unidades,0,
000031,SALTA CAUTIVA IPA 473ML,1800.0,1500.0,BEBIDAS,0,0,7793147573683,Unidades,0,
000032,SCHNEIDER 473ML,1800.0,1500.0,BEBIDAS,0,0,7793147118860,Unidades,0,
000033,AGUA MINERAL VILLA DEL SUR 1.65L,,,BEBIDAS,-2,0,7790315000149,Unidades,0,
000034,AGUA MINERAL CELLIER 600ML,,,BEBIDAS,-1,0,7790639002560,Unidades,0,
